 train         node      observed        predicted
     y           17    3.300000E+05     3.708738E+05
     y           33    2.800000E+05     3.990938E+05
     y           17    2.490000E+05     3.708738E+05
     y           33    5.220000E+05     3.990938E+05
     y           33    5.390000E+05     3.990938E+05
     y            7    7.900000E+05     9.370035E+05
     y           17    4.350000E+05     3.708738E+05
     y           17    2.950000E+05     3.708738E+05
     y           33    5.070000E+05     3.990938E+05
     y           17    4.050000E+05     3.708738E+05
     y           72    5.910000E+05     6.913100E+05
     y           19    4.400000E+05     7.060558E+05
     y           37    7.500000E+05     4.740929E+05
     y           32    4.500000E+05     5.728587E+05
     y           33    4.950000E+05     3.990938E+05
     y           19    6.600000E+05     7.060558E+05
     y           33    4.370000E+05     3.990938E+05
     y            7    8.490000E+05     9.370035E+05
     y           33    3.850000E+05     3.990938E+05
     y           19    6.300000E+05     7.060558E+05
     y           19    7.000000E+05     7.060558E+05
     y            7    7.700000E+05     9.370035E+05
     y            7    1.275000E+06     9.370035E+05
     y           33    4.510000E+05     3.990938E+05
     y           72    5.620000E+05     6.913100E+05
     y           19    6.200000E+05     7.060558E+05
     y           17    2.600000E+05     3.708738E+05
     y           33    4.000000E+05     3.990938E+05
     y           73    6.430000E+05     5.120566E+05
     y           32    4.690000E+05     5.728587E+05
     y            7    1.190000E+06     9.370035E+05
     y           19    6.100000E+05     7.060558E+05
     y           48    6.000000E+05     7.757435E+05
     y           32    6.500000E+05     5.728587E+05
     y           37    1.275000E+06     4.740929E+05
     y           17    4.000000E+05     3.708738E+05
     y           19    9.130000E+05     7.060558E+05
     y           72    5.300000E+05     6.913100E+05
     y           17    4.390000E+05     3.708738E+05
     y           25    6.400000E+05     6.117883E+05
     y           19    3.220000E+05     7.060558E+05
     y           33    2.900000E+05     3.990938E+05
     y           48    1.000000E+06     7.757435E+05
     y           19    5.750000E+05     7.060558E+05
     y           17    3.340000E+05     3.708738E+05
     y            7    1.100000E+06     9.370035E+05
     y           32    4.490000E+05     5.728587E+05
     y           19    4.800000E+05     7.060558E+05
     y           17    5.680000E+05     3.708738E+05
     y           33    3.650000E+05     3.990938E+05
     y           19    7.990000E+05     7.060558E+05
     y           33    3.190000E+05     3.990938E+05
     y           19    6.990000E+05     7.060558E+05
     y           17    3.190000E+05     3.708738E+05
     y           17    4.300000E+05     3.708738E+05
     y           17    2.680000E+05     3.708738E+05
     y           72    5.220000E+05     6.913100E+05
     y           37    6.800000E+05     4.740929E+05
     y           17    3.200000E+05     3.708738E+05
     y            7    7.400000E+05     9.370035E+05
     y           17    4.590000E+05     3.708738E+05
     y           32    5.500000E+05     5.728587E+05
     y           19    8.200000E+05     7.060558E+05
     y           48    8.100000E+05     7.757435E+05
     y           25    8.130000E+05     6.117883E+05
     y           32    5.640000E+05     5.728587E+05
     y           19    7.990000E+05     7.060558E+05
     y           17    4.250000E+05     3.708738E+05
     y           17    5.010000E+05     3.708738E+05
     y           17    3.050000E+05     3.708738E+05
     y           19    7.750000E+05     7.060558E+05
     y           32    6.330000E+05     5.728587E+05
     y           19    1.275000E+06     7.060558E+05
     y            7    1.132000E+06     9.370035E+05
     y           33    3.970000E+05     3.990938E+05
     y           19    4.750000E+05     7.060558E+05
     y           25    7.050000E+05     6.117883E+05
     y           33    5.290000E+05     3.990938E+05
     y           73    5.400000E+05     5.120566E+05
     y           19    4.950000E+05     7.060558E+05
     y           33    4.270000E+05     3.990938E+05
     y           32    5.640000E+05     5.728587E+05
     y            7    1.094900E+06     9.370035E+05
     y           53    1.225000E+06     1.152055E+06
     y           73    5.610000E+05     5.120566E+05
     y           19    6.570000E+05     7.060558E+05
     y           72    7.800000E+05     6.913100E+05
     y           53    1.275000E+06     1.152055E+06
     y           53    1.200000E+06     1.152055E+06
     y            7    8.600000E+05     9.370035E+05
     y           19    3.300000E+05     7.060558E+05
     y           33    4.860000E+05     3.990938E+05
     y           33    3.190000E+05     3.990938E+05
     y            7    1.075000E+06     9.370035E+05
     y           37    5.300000E+05     4.740929E+05
     y           33    4.690000E+05     3.990938E+05
     y           17    5.500000E+05     3.708738E+05
     y           25    6.740000E+05     6.117883E+05
     y            7    9.300000E+05     9.370035E+05
     y           37    4.150000E+05     4.740929E+05
     y           25    6.780000E+05     6.117883E+05
     y           33    2.900000E+05     3.990938E+05
     y           32    4.700000E+05     5.728587E+05
     y           19    7.950000E+05     7.060558E+05
     y           19    5.150000E+05     7.060558E+05
     y            7    6.590000E+05     9.370035E+05
     y            7    7.210000E+05     9.370035E+05
     y           19    1.199000E+06     7.060558E+05
     y           17    4.000000E+05     3.708738E+05
     y           17    2.600000E+05     3.708738E+05
     y           25    9.000000E+05     6.117883E+05
     y           37    4.440000E+05     4.740929E+05
     y           54    7.200000E+05     5.411277E+05
     y           33    4.900000E+05     3.990938E+05
     y            7    1.275000E+06     9.370035E+05
     y           33    4.510000E+05     3.990938E+05
     y           53    1.275000E+06     1.152055E+06
     y           19    7.000000E+05     7.060558E+05
     y           17    2.850000E+05     3.708738E+05
     y           33    4.100000E+05     3.990938E+05
     y           19    6.600000E+05     7.060558E+05
     y           33    2.600000E+05     3.990938E+05
     y            7    7.990000E+05     9.370035E+05
     y           19    6.900000E+05     7.060558E+05
     y           33    1.250000E+06     3.990938E+05
     y           17    3.300000E+05     3.708738E+05
     y            7    9.750000E+05     9.370035E+05
     y           73    6.100000E+05     5.120566E+05
     y            7    6.800000E+05     9.370035E+05
     y           19    6.500000E+05     7.060558E+05
     y           72    5.420000E+05     6.913100E+05
     y            7    1.080000E+06     9.370035E+05
     y           37    4.850000E+05     4.740929E+05
     y           19    6.630000E+05     7.060558E+05
     y           33    4.450000E+05     3.990938E+05
     y           25    6.990000E+05     6.117883E+05
     y           33    4.650000E+05     3.990938E+05
     y            7    7.900000E+05     9.370035E+05
     y           32    5.990000E+05     5.728587E+05
     y           19    1.060000E+06     7.060558E+05
     y           37    3.950000E+05     4.740929E+05
     y            7    8.250000E+05     9.370035E+05
     y           72    4.700000E+05     6.913100E+05
     y            7    7.300000E+05     9.370035E+05
     y           73    5.600000E+05     5.120566E+05
     y           32    5.870000E+05     5.728587E+05
     y           37    5.370000E+05     4.740929E+05
     y           53    6.110000E+05     1.152055E+06
     y           19    9.990000E+05     7.060558E+05
     y           33    4.710000E+05     3.990938E+05
     y           33    4.590000E+05     3.990938E+05
     y           33    3.850000E+05     3.990938E+05
