 train       observed       predicted
 y     3.300000E+05     3.499675E+05
 y     2.800000E+05     4.237726E+05
 y     2.490000E+05     3.724885E+05
 y     5.220000E+05     4.813836E+05
 y     5.390000E+05     4.838310E+05
 y     7.900000E+05     8.102380E+05
 y     4.350000E+05     4.204471E+05
 y     2.950000E+05     2.809288E+05
 y     5.070000E+05     4.736835E+05
 y     4.050000E+05     4.099912E+05
 y     5.910000E+05     6.319127E+05
 y     4.400000E+05     4.623111E+05
 y     7.500000E+05     7.184071E+05
 y     4.500000E+05     4.648833E+05
 y     4.950000E+05     5.465086E+05
 y     6.600000E+05     6.655310E+05
 y     4.370000E+05     4.496144E+05
 y     8.490000E+05     8.729369E+05
 y     3.850000E+05     4.693906E+05
 y     6.300000E+05     5.991527E+05
 y     7.000000E+05     6.810126E+05
 y     7.700000E+05     8.314824E+05
 y     1.275000E+06     9.288454E+05
 y     4.510000E+05     4.526928E+05
 y     5.620000E+05     5.307677E+05
 y     6.200000E+05     5.491524E+05
 y     2.600000E+05     3.192118E+05
 y     4.000000E+05     4.761239E+05
 y     6.430000E+05     5.263797E+05
 y     4.690000E+05     4.884876E+05
 y     1.190000E+06     1.013781E+06
 y     6.100000E+05     6.353534E+05
 y     6.000000E+05     6.503881E+05
 y     6.500000E+05     5.261414E+05
 y     1.275000E+06     6.995147E+05
 y     4.000000E+05     3.255943E+05
 y     9.130000E+05     7.159646E+05
 y     5.300000E+05     5.254195E+05
 y     4.390000E+05     4.217612E+05
 y     6.400000E+05     6.796528E+05
 y     3.220000E+05     4.383444E+05
 y     2.900000E+05     4.010385E+05
 y     1.000000E+06     6.378373E+05
 y     5.750000E+05     7.383002E+05
 y     3.340000E+05     3.619154E+05
 y     1.100000E+06     9.235539E+05
 y     4.490000E+05     4.920135E+05
 y     4.800000E+05     5.307272E+05
 y     5.680000E+05     5.069604E+05
 y     3.650000E+05     4.046589E+05
 y     7.990000E+05     6.585290E+05
 y     3.190000E+05     4.373312E+05
 y     6.990000E+05     6.222777E+05
 y     3.190000E+05     3.873070E+05
 y     4.300000E+05     4.353944E+05
 y     2.680000E+05     3.534184E+05
 y     5.220000E+05     5.306031E+05
 y     6.800000E+05     6.867091E+05
 y     3.200000E+05     5.068745E+05
 y     7.400000E+05     8.037330E+05
 y     4.590000E+05     4.710898E+05
 y     5.500000E+05     5.070245E+05
 y     8.200000E+05     5.422697E+05
 y     8.100000E+05     7.131405E+05
 y     8.130000E+05     7.480203E+05
 y     5.640000E+05     5.057541E+05
 y     7.990000E+05     7.258552E+05
 y     4.250000E+05     3.507805E+05
 y     5.010000E+05     4.638535E+05
 y     3.050000E+05     3.243906E+05
 y     7.750000E+05     7.014154E+05
 y     6.330000E+05     5.065154E+05
 y     1.275000E+06     5.709579E+05
 y     1.132000E+06     8.672217E+05
 y     3.970000E+05     4.863847E+05
 y     4.750000E+05     5.069767E+05
 y     7.050000E+05     7.176781E+05
 y     5.290000E+05     4.630178E+05
 y     5.400000E+05     4.853871E+05
 y     4.950000E+05     5.596025E+05
 y     4.270000E+05     4.772260E+05
 y     5.640000E+05     4.649680E+05
 y     1.094900E+06     1.038809E+06
 y     1.225000E+06     1.170756E+06
 y     5.610000E+05     5.506256E+05
 y     6.570000E+05     5.824655E+05
 y     7.800000E+05     5.555557E+05
 y     1.275000E+06     1.099926E+06
 y     1.200000E+06     9.317433E+05
 y     8.600000E+05     9.514096E+05
 y     3.300000E+05     4.391402E+05
 y     4.860000E+05     4.800323E+05
 y     3.190000E+05     4.453768E+05
 y     1.075000E+06     1.050830E+06
 y     5.300000E+05     5.556433E+05
 y     4.690000E+05     3.797304E+05
 y     5.500000E+05     4.662655E+05
 y     6.740000E+05     6.881174E+05
 y     9.300000E+05     9.413304E+05
 y     4.150000E+05     4.380294E+05
 y     6.780000E+05     7.114431E+05
 y     2.900000E+05     3.998319E+05
 y     4.700000E+05     4.920135E+05
 y     7.950000E+05     7.235754E+05
 y     5.150000E+05     5.353634E+05
 y     6.590000E+05     8.217584E+05
 y     7.210000E+05     7.681587E+05
 y     1.199000E+06     8.668159E+05
 y     4.000000E+05     4.138263E+05
 y     2.600000E+05     3.650521E+05
 y     9.000000E+05     7.601322E+05
 y     4.440000E+05     5.159695E+05
 y     7.200000E+05     8.147968E+05
 y     4.900000E+05     4.461215E+05
 y     1.275000E+06     9.098286E+05
 y     4.510000E+05     4.699840E+05
 y     1.275000E+06     1.129148E+06
 y     7.000000E+05     5.604558E+05
 y     2.850000E+05     3.581614E+05
 y     4.100000E+05     4.376947E+05
 y     6.600000E+05     5.684823E+05
 y     2.600000E+05     4.060640E+05
 y     7.990000E+05     8.623020E+05
 y     6.900000E+05     5.917349E+05
 y     1.250000E+06     4.256047E+05
 y     3.300000E+05     4.135790E+05
 y     9.750000E+05     9.325823E+05
 y     6.100000E+05     5.862618E+05
 y     6.800000E+05     7.847315E+05
 y     6.500000E+05     6.874572E+05
 y     5.420000E+05     5.102318E+05
 y     1.080000E+06     1.038487E+06
 y     4.850000E+05     4.741944E+05
 y     6.630000E+05     5.305351E+05
 y     4.450000E+05     4.671402E+05
