ACS,AGER,ASSOC,BASE,CAT,CLOS,CON,DECK,DET,DIV,FNBS,FOYER,FRAME,GAR,HEAT,HEAT2,LNDR,MFGS,PATI,PRCH,SEWER,STOR,WAL1,WAL2,WALS,WATER,BEDR,FPLS,FULB,HAFB,WEIGHT,FUEL,FUEL2,FFNSQ_F,FSLPR,FSQFS,LOTV,FNSQ,FFNSQ,AREA
2,2,2,1,1,0,2,1,1,1,2,2,1,2,3,0,2,3,2,1,2,2,5,0,2,2,3,1,2,1,35,3,0,0,330000,1600.0,60000.0,0,0,87120.0
2,2,2,1,1,0,2,1,1,1,2,2,1,4,3,0,2,3,2,2,1,2,5,0,2,1,3,0,1,1,40,2,0,0,280000,1900.0,70000.0,0,0,2655.776213955457
2,2,1,1,1,0,2,1,2,1,2,2,1,1,3,0,2,3,2,1,1,2,5,0,2,1,3,0,1,1,52,3,0,0,249000,1300.0,2586.6494085051077,0,0,87100.0
1,2,1,1,1,0,1,2,2,1,2,2,1,1,2,0,3,3,1,1,1,2,8,0,2,1,2,2,2,1,56,2,0,0,522000,2000.0,2586.6494085051077,0,0,2655.776213955457
1,2,1,1,1,0,1,2,2,1,2,2,1,1,2,0,3,3,1,1,1,2,8,0,2,1,2,2,2,1,56,2,0,0,539000,2100.0,2586.6494085051077,0,0,2655.776213955457
1,2,1,1,1,0,2,1,1,1,2,1,1,3,2,0,3,3,2,1,2,2,5,0,2,2,4,2,2,1,50,3,0,0,790000,3500.0,250000.0,0,0,25900.0
1,2,2,1,1,0,2,1,1,1,2,2,1,2,2,0,3,3,2,1,2,2,5,0,2,2,3,1,2,1,36,3,0,0,435000,2200.0,2586.6494085051077,0,0,87120.0
2,2,2,1,1,0,2,1,1,1,2,0,1,1,3,0,2,3,2,2,2,1,5,0,2,2,3,0,2,0,37,3,0,0,295000,1300.0,40000.0,0,0,60200.0
1,1,1,1,1,0,1,1,1,1,2,2,1,2,2,0,2,3,2,1,1,2,5,0,2,1,2,0,2,1,28,2,0,0,507000,2100.0,2586.6494085051077,0,0,2655.776213955457
1,2,2,1,1,0,2,1,1,1,2,2,1,2,2,0,2,3,2,1,2,2,5,0,2,2,3,1,2,1,41,3,0,0,405000,2100.0,85000.0,0,0,34800.0
