ACS,AGER,ASSOC,BASE,CAT,CLOS,CON,DECK,DET,DIV,FINC,FNBS,FOYER,FRAME,GAR,HEAT,HEAT2,LNDR,MFGS,PATI,PRCH,SEWER,STOR,WAL1,WAL2,WALS,WATER,BEDR,COMP,FPLS,FULB,HAFB,SALE,STRT,WEIGHT,FUEL,FUEL2,AREA_F,FNSQ_F,FFNSQ_F,SLPR_F,FSLPR_F,CONPR_F,FCONPR_F,LOTV_F,SQFS_F,FSQFS_F,PVALU_F,ID,CONPR,SLPR,FCONPR,FSLPR,PVALU,SQFS,FSQFS,LOTV,FNSQ,FFNSQ,AREA,AUTH
2,2,2,1,1,0,2,1,1,1,0,2,2,1,2,3,0,2,3,2,1,2,2,5,0,2,2,3,201912,1,2,1,201911,201907,35,3,0,1,0,0,0,0,0,0,0,0,0,0,13539,0,320000,0,330000,0,1600,1600,60000,0,0,87120,201907
2,2,2,1,1,0,2,1,1,1,0,2,2,1,4,3,0,2,3,2,2,1,2,5,0,2,1,3,202001,0,1,1,201911,201908,40,2,0,0,0,0,0,0,0,0,0,0,0,0,13508,0,260000,0,280000,132000,1900,1900,70000,0,0,0,201908
2,2,1,1,1,0,2,1,2,1,0,2,2,1,1,3,0,2,3,2,1,1,2,5,0,2,1,3,201906,0,1,1,201909,201812,52,3,0,0,0,0,1,0,0,0,0,0,0,0,13530,0,249000,0,249000,0,1300,0,0,0,0,87100,201812
1,2,1,1,1,0,1,2,2,1,1,2,2,1,1,2,0,3,3,1,1,1,2,8,0,2,1,2,201912,2,2,1,201912,201904,56,2,0,0,0,0,0,0,0,0,0,0,0,0,11380,0,522000,0,522000,0,2000,0,0,0,0,0,201904
1,2,1,1,1,0,1,2,2,1,1,2,2,1,1,2,0,3,3,1,1,1,2,8,0,2,1,2,201912,2,2,1,201905,201904,56,2,0,0,0,0,0,0,0,0,0,0,0,0,11382,0,539000,0,539000,0,2100,2100,0,0,0,0,201904
1,2,1,1,1,0,2,1,1,1,1,2,1,1,3,2,0,3,3,2,1,2,2,5,0,2,2,4,201907,2,2,1,201908,201809,50,3,0,0,0,0,0,0,0,0,0,0,0,0,13441,0,790000,0,790000,469000,3500,0,250000,0,0,25900,201805
1,2,2,1,1,0,2,1,1,1,0,2,2,1,2,2,0,3,3,2,1,2,2,5,0,2,2,3,201905,1,2,1,201903,201809,36,3,0,1,0,0,0,0,0,0,0,0,0,0,13361,0,435000,0,435000,200000,2200,2200,0,0,0,87120,201809
2,2,2,1,1,0,2,1,1,1,2,2,0,1,1,3,0,2,3,2,2,2,1,5,0,2,2,3,0,0,2,0,202003,201905,37,3,0,0,0,0,0,0,0,0,0,0,0,0,13537,0,295000,0,295000,0,1300,0,40000,0,0,60200,201904
1,1,1,1,1,0,1,1,1,1,1,2,2,1,2,2,0,2,3,2,1,1,2,5,0,2,1,2,201912,0,2,1,201904,201904,28,2,0,0,0,0,0,0,0,0,0,0,0,0,11341,0,540000,0,507000,0,2100,2100,0,0,0,0,201904
1,2,2,1,1,0,2,1,1,1,1,2,2,1,2,2,0,2,3,2,1,2,2,5,0,2,2,3,201909,1,2,1,201901,201903,41,3,0,0,0,0,0,0,0,0,0,0,0,0,13365,0,405000,0,405000,307000,2100,2100,85000,0,0,34800,201902
