ACS,AGER,ASSOC,BASE,CAT,CLOS,CON,DECK,DET,DIV,FINC,FNBS,FOYER,FRAME,GAR,HEAT,HEAT2,LNDR,MFGS,PATI,PRCH,SEWER,STOR,WAL1,WAL2,WALS,WATER,BEDR,COMP,FPLS,FULB,HAFB,SALE,STRT,WEIGHT,FUEL,FUEL2,AREA_F,FNSQ_F,FFNSQ_F,SLPR_F,FSLPR_F,CONPR_F,FCONPR_F,LOTV_F,SQFS_F,FSQFS_F,PVALU_F,ID,CONPR,SLPR,FCONPR,FSLPR,PVALU,SQFS,FSQFS,LOTV,FNSQ,FFNSQ,AREA,AUTH
1,2,2,03,1,0,0,2,1,1,00,0,2,1,2,02,00,3,3,1,1,1,2,05,00,2,1,3,201908,1,2,1,0,201808,72,02,00,0,0,0,0,0,0,0,0,0,0,0,13407,0,0,0,0,0,2700,0,0,0,0,26100,201808
2,2,2,01,1,0,2,1,1,1,00,2,2,1,2,03,00,2,3,2,1,2,2,05,00,2,2,3,201912,1,2,1,201911,201907,35,03,00,1,0,0,0,0,0,0,0,0,0,0,13539,0,320000,0,330000,0,1600,1600,60000,0,0,87120,201907
2,2,2,01,1,0,2,1,1,1,00,2,2,1,4,03,00,2,3,2,2,1,2,05,00,2,1,3,202001,0,1,1,201911,201908,40,02,00,0,0,0,0,0,0,0,0,0,0,0,13508,0,260000,0,280000,132000,1900,1900,70000,0,0,0,201908
1,2,2,01,1,0,0,1,1,1,00,1,2,1,2,02,00,3,3,1,1,1,2,05,00,2,1,4,201910,1,3,1,0,201812,72,02,00,0,1,0,0,0,0,0,0,0,0,0,4631,0,0,0,0,425000,4500,0,0,220,0,21800,201812
2,2,1,01,1,0,2,1,2,1,00,2,2,1,1,03,00,2,3,2,1,1,2,05,00,2,1,3,201906,0,1,1,201909,201812,52,03,00,0,0,0,1,0,0,0,0,0,0,0,13530,0,249000,0,0,0,1300,0,0,0,0,87100,201812
1,2,2,01,1,0,0,1,1,1,00,1,2,1,2,02,00,3,1,1,1,1,3,05,00,2,1,4,202003,0,3,2,0,201911,58,02,00,0,0,0,0,0,0,0,0,0,0,0,4735,0,0,0,0,225000,3500,3500,0,600,600,11400,201911
1,2,2,01,1,0,2,1,1,1,01,2,2,1,2,02,00,2,3,2,2,1,2,05,00,2,1,3,201904,1,2,1,201906,201812,36,02,00,0,0,0,0,0,0,0,0,0,0,0,11340,0,0,0,0,0,2700,0,0,0,0,43600,201812
1,2,2,01,1,0,2,1,1,1,01,2,2,1,2,02,00,3,3,2,1,1,2,05,00,2,1,3,202001,1,2,1,202002,201907,37,02,00,0,0,0,0,0,0,0,0,0,0,1,11358,0,0,0,0,615000,2500,0,0,0,0,42500,201906
1,2,1,01,1,0,1,2,2,1,01,2,2,1,1,02,00,3,3,1,1,1,2,08,00,2,1,2,201912,2,2,1,201912,201904,56,02,00,0,0,0,0,0,0,0,0,0,0,0,11380,0,522000,0,0,0,2000,0,0,0,0,0,201904
1,2,1,01,1,0,1,2,2,1,01,2,2,1,1,02,00,3,3,1,1,1,2,08,00,2,1,2,201912,2,2,1,201905,201904,56,02,00,0,0,0,0,0,0,0,0,0,0,0,11382,0,539000,0,539000,0,2100,2100,0,0,0,0,201904
1,2,1,01,1,0,2,1,1,1,01,2,1,1,3,02,00,3,3,2,1,2,2,05,00,2,2,4,201907,2,2,1,201908,201809,50,03,00,0,0,0,0,0,0,0,0,0,0,0,13441,0,790000,0,0,469000,3500,0,250000,0,0,25900,201805
1,2,2,01,1,0,2,1,1,1,00,2,2,1,2,02,00,3,3,2,1,2,2,05,00,2,2,3,201905,1,2,1,201903,201809,36,03,00,1,0,0,0,0,0,0,0,0,0,0,13361,0,435000,0,435000,200000,2200,2200,0,0,0,87120,201809
2,2,2,01,1,0,2,1,1,1,02,2,0,1,1,03,00,2,3,2,2,2,1,05,00,2,2,3,0,0,2,0,202003,201905,37,03,00,0,0,0,0,0,0,0,0,0,0,0,13537,0,295000,0,0,0,1300,0,40000,0,0,60200,201904
1,1,1,01,1,0,1,1,1,1,01,2,2,1,2,02,00,2,3,2,1,1,2,05,00,2,1,2,201912,0,2,1,201904,201904,28,02,00,0,0,0,0,0,0,0,0,0,0,0,11341,0,540000,0,507000,0,2100,2100,0,0,0,0,201904
1,2,2,01,1,0,2,1,1,1,01,2,2,1,2,02,00,2,3,2,1,2,2,05,00,2,2,3,201909,1,2,1,201901,201903,41,03,00,0,0,0,0,0,0,0,0,0,0,0,13365,0,405000,0,405000,307000,2100,2100,85000,0,0,34800,201902
1,2,2,01,1,0,2,1,1,1,00,2,0,1,2,02,00,3,3,2,1,2,2,05,00,2,2,4,0,1,2,1,201911,201912,58,03,00,1,0,0,0,0,0,0,0,0,0,0,4682,0,0,0,0,274000,3100,0,0,0,0,87120,201911
0,2,1,01,1,0,2,2,1,1,00,2,0,1,2,03,00,2,3,2,1,1,1,05,00,2,1,3,0,9,3,0,201911,201911,52,02,00,0,0,0,0,0,0,0,0,0,0,0,22325,0,591000,0,0,0,3200,0,0,0,0,0,201910
2,2,2,01,1,0,2,1,1,1,00,2,2,1,2,03,00,2,3,2,1,2,2,05,00,2,1,3,201906,1,2,1,201909,201810,72,02,00,0,0,0,0,0,0,0,0,0,0,0,22297,0,440000,0,0,0,2400,0,0,0,0,21800,201810
1,2,2,01,1,0,0,2,1,1,00,2,2,1,2,02,00,2,3,1,2,2,2,05,00,2,1,4,202002,1,2,1,0,201905,55,03,00,0,0,0,0,0,0,0,0,0,0,0,4781,0,0,0,0,170000,2400,0,0,0,0,52300,201905
1,2,2,01,1,0,0,1,1,1,00,2,2,1,2,02,00,0,3,2,2,1,2,05,00,2,1,3,0,0,3,9,0,201912,41,02,00,0,0,0,0,0,0,0,0,0,0,0,11379,0,0,0,0,240000,0,0,0,0,0,0,201902
1,2,2,01,1,0,2,2,1,1,01,1,2,1,1,02,00,3,3,1,2,1,2,01,00,2,1,3,201811,1,2,1,201908,201805,42,02,00,0,0,0,0,0,0,0,1,0,0,0,4609,0,750000,0,0,360000,2900,0,269000,900,0,6000,201805
1,2,2,03,1,0,0,2,1,1,00,0,2,1,1,02,00,2,3,1,2,1,2,05,00,2,1,3,0,2,2,0,0,201901,42,02,00,0,0,0,0,0,0,0,0,0,0,0,4545,0,0,0,0,131000,2200,0,0,0,0,4400,201705
1,2,1,03,1,0,1,1,2,1,00,0,2,1,2,01,02,2,3,2,1,1,2,05,00,2,1,3,201908,0,2,0,201905,201810,58,01,03,0,0,0,0,2,0,0,0,0,0,0,13423,0,450000,0,0,0,2200,2200,0,0,0,0,201809
1,2,0,01,1,0,0,0,1,1,00,2,2,1,2,00,00,0,3,0,0,1,2,08,00,2,1,4,0,9,2,1,0,202002,58,00,00,0,0,0,0,0,0,0,0,0,0,0,11424,0,0,0,0,288000,2800,0,0,0,0,0,201911
1,1,1,01,1,0,1,1,1,1,01,2,2,1,2,02,00,2,3,2,1,1,2,05,00,2,1,2,201903,1,2,1,201903,201803,42,03,00,0,0,0,0,0,0,0,1,0,0,0,13439,0,495000,0,0,275000,2200,2200,178000,0,0,0,201803
